MarketCenter,idate,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType
CDRG,201608,NYSE,15,123504,22471440,13366089,7212174,0,494597,773550,707759,2041646,1984841,0.008389425851345238,0.0,0.0,,,0.0,,0.0,0.0,,7212174,0.0,0.0,0.0,0.0,60505.99899999999,0.0,0.0,0.0,0.0,Other
CDRG,201608,Other,11,663514,139312707,1358117,137937928,0,137900586,21581,7885,5564,649,0.007613742429855843,0.010340405754101226,129632178.0,0.013038462565212832,0.02442330637999464,7945961.0,0.028912273795454076,359789.0,18.648899999999994,15.392547854436907,137937928,3166046.400000001,1690204.3001000062,229735.80000000005,5538069.4,1050223.8551000005,1426334.1444000006,0.939786321859206,0.057605338250404925,0.0026083398903889578,Market
CDRG,201608,Other,12,3209212,480453622,319782665,160655546,0,160554061,45381,20277,23760,7670,0.009953768118904485,0.02072317572217517,64591441.0,0.004596973948916858,0.01929178666257035,95114855.0,0.2781499398805791,949250.0,15.687899999999898,5.36939404793258,160655546,1246084.2999999998,296925.17160000023,26456191.2,5096897.300000002,1599128.051899993,3329293.1104999967,0.4020492451595789,0.5920421508511134,0.005908603989307658,Limit
CDRG,201608,Other,13,714973,105788986,102021671,3599931,0,2685717,213672,135559,237786,201822,0.036554195760974295,0.0,0.0,,,0.0,,0.0,0.0,,3599931,0.0,0.0,0.0,0.0,131592.58249999993,0.0,0.0,0.0,0.0,Other
CDRG,201608,Other,14,142321,25303698,21524306,3650506,0,2106668,374320,254324,482975,306201,0.0038879005814536453,0.0,0.0,,,0.0,,0.0,0.0,,3650506,0.0,0.0,0.0,0.0,14192.804400000019,0.0,0.0,0.0,0.0,Other
CDRG,201608,Other,15,50695,9733865,5668358,3114394,0,338460,409655,334293,796374,744105,0.0074410233258862,0.0,0.0,,,0.0,,0.0,0.0,,3114394,0.0,0.0,0.0,0.0,23174.278400000025,0.0,0.0,0.0,0.0,Other
CDRG,201609,NASDAQ,11,648790,131606493,1990844,129599364,0,129582118,11895,1428,1977,1517,0.0032216673069475877,0.011337705984421364,120456118.0,0.018766684003547262,0.002931220977916622,8600467.0,0.4022345065680736,542779.0,22.678900000000052,3.0155203130555917,129599364,353083.5,2260561.9028000017,3459404.6000000006,1636761.1000000013,417526.0340000002,1469359.4848000028,0.9294499161276748,0.06636195375156316,0.0041881301207620115,Market
CDRG,201609,NASDAQ,12,4091948,605234703,403026794,202185848,0,202091076,40484,15100,19545,14701,0.011915438824382977,0.02889492954323884,68537174.0,0.006080764453462882,0.0015969785973375561,131936468.0,0.24594117298941184,1712206.0,30.00290000000024,5.8985875531332095,202185848,109452.4,416758.41140000045,32448609.7,10099597.0,2409133.1029999955,5842145.8325999975,0.3389810645896443,0.6525504594169222,0.008468475993433526,Limit
CDRG,201609,NASDAQ,13,1091830,140872422,132472898,8235777,0,6766640,412190,241305,418217,255444,0.014611543088162763,0.0,0.0,,,0.0,,0.0,0.0,,8235777,0.0,0.0,0.0,0.0,120337.41049999988,0.0,0.0,0.0,0.0,Other
CDRG,201609,NASDAQ,14,301300,49049477,44613836,4288784,0,2162637,602485,372135,654852,364792,0.004363308923928084,0.0,0.0,,,0.0,,0.0,0.0,,4288784,0.0,0.0,0.0,0.0,18713.289499999984,0.0,0.0,0.0,0.0,Other
