MarketCenter,Quarter,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType,PrImp_ExpAmt,All_AvgT,MktCtrAvg_PrImp_Pct,Rel_PrImp_Pct,MktCtrAvg_PrImp_AvgT,Rel_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,Rel_PrImp_ExpAmt,MktCtrAvg_All_AvgT,Rel_All_AvgT
BNYC,2015Q1,Other,11,257920,55831472,108233,55715793,0,55640416,65042,8450,1885,0,0.014391121879930881,0.016029036092154336,53509648.0,0.005245347549286815,0.19892722897373566,1512486.0,0.918261259938935,693659.0,13.041699999999985,1.346896385688068,55715793,10644525.999999996,280676.7010000001,1388857.3,934286.7999999996,801812.7676999999,893070.4569,0.9604035968760241,0.027146450199497296,0.012449952924478702,Market,0.005037650653199895,0.23274675638198303,0.8938532763541701,0.06655032052185395,0.22208075979715375,-0.02315353082341809,0.008315384543393516,-0.0032777338901936216,0.33165518128094623,-0.0989084248989632
BNYC,2015Q1,Other,12,31773,6700795,4440,6682095,0,6652622,18963,4550,3922,1838,0.01994765638620821,0.02490296332213176,5464345.0,0.00043197618378780945,0.16195168862873777,1124576.0,2.2148594670346866,93174.0,4.219300000000002,8.437991285122461,6682095,884959.9000000001,2360.4668999999976,2490777.8,786201.4000000001,133292.13499999995,166403.96670000002,0.8177592506541735,0.16829691885553857,0.013943830490287851,Limit,0.0003532525203547686,0.6228494356934465,0.6395087424954722,0.17825050815870136,0.11823294352981081,0.04371874509892695,0.0026136704287217974,-0.002260417908367029,1.222009931347206,-0.5991604956537594
BNYC,2015Q1,Other,13,7140,1552835,310615,1146020,0,556490,134241,83728,181370,126283,0.03175100905743355,0.0,0.0,,,0.0,,0.0,0.0,,1146020,0.0,0.0,0.0,0.0,36387.291399999995,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q1,Other,14,9190,2058266,542844,1412264,0,341273,245751,164112,335593,228521,0.00948845492060975,0.0,0.0,,,0.0,,0.0,0.0,,1412264,0.0,0.0,0.0,0.0,13400.203300000008,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q1,Other,15,24167,5330649,1800527,2709145,0,170310,257288,249582,733405,770729,0.015731358011475946,0.0,0.0,,,0.0,,0.0,0.0,,2709145,0.0,0.0,0.0,0.0,42618.5299,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q2,NASDAQ,11,182798,37375992,112287,37259229,0,37191775,60545,5855,1054,0,0.01975807029447657,0.025222793568809493,34107740.0,0.006033895458919292,0.22657645156202075,2275280.0,0.6790735645722726,876209.0,27.072000000000028,1.1680058068337582,37259229,7728010.699999997,205802.53749999992,1545082.5000000005,1023417.2000000004,736170.4657,939781.8416000002,0.915417224548581,0.061066212615403286,0.023516562836015744,Market,0.005523531834220185,0.27634791906187856,0.8869868706293366,0.028430353919244422,0.12453860092732068,0.10203785063470007,0.011885809759852914,-0.006362277925632729,0.13645873445862963,0.13988918460324892
BNYC,2015Q2,NASDAQ,12,29875,6456260,10936,6430013,0,6403208,10736,5506,5251,4254,0.025043264811439696,0.03477976626174785,5451150.0,0.0008636407730478873,0.4643781587371474,836277.0,8.95053421294619,142586.0,8.0422,6.694011333511005,6430013,2531395.000000001,4707.835399999991,7485125.900000001,954472.3000000002,161028.5182999998,223634.34920000006,0.8477665597254624,0.13005836846675115,0.02217507180778639,Limit,0.0007321657670054463,1.7062163326885968,0.6108136423016213,0.23695291742384117,0.5084136318300245,-0.04403547309287714,0.0043005926734325725,-0.0035684269064271265,1.2163284226954652,0.4898879099931317
BNYC,2015Q2,NASDAQ,13,11280,2314031,477786,1761366,0,893156,210590,146362,271810,176222,0.04202200417176214,0.0,0.0,,,0.0,,0.0,0.0,,1761366,0.0,0.0,0.0,0.0,74016.12939999999,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q2,NASDAQ,14,10515,2278397,603308,1574974,0,363006,261558,177432,409644,263001,0.015587909895655415,0.0,0.0,,,0.0,,0.0,0.0,,1574974,0.0,0.0,0.0,0.0,24550.55279999999,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q2,NASDAQ,15,30087,6268115,2067562,3330186,0,262279,353020,332653,950686,879003,0.01428079251429199,0.0,0.0,,,0.0,,0.0,0.0,,3330186,0.0,0.0,0.0,0.0,47557.695299999985,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
